,Training_paths
0,/Adenocarcinoma/image\GTxc2012902-1-400-007.png
1,/Adenocarcinoma/image\GTxc2012946-2-400-012.png
2,/Adenocarcinoma/image\GTXC2015422-1-400-006.png
3,/Adenocarcinoma/image\GTxc2014065-1-400-005.png
4,/Adenocarcinoma/image\GTXC2015413-3-400-001.png
5,/Adenocarcinoma/image\GT2012223-4-400-001.png
6,/Adenocarcinoma/image\GTxc2012822-1-400-008.png
7,/Adenocarcinoma/image\GT2012468-1-400-001.png
8,/Adenocarcinoma/image\GTxc2013512-1-400-023.png
9,/Adenocarcinoma/image\GT2012324-1-400-012.png
10,/Adenocarcinoma/image\GT2016885-2-400-002.png
11,/Adenocarcinoma/image\GTxc2014131-3-400-002.png
12,/Adenocarcinoma/image\GTXC2015362-9-400-005.png
13,/Adenocarcinoma/image\GT2016841-1-400-003.png
14,/Adenocarcinoma/image\GT2015123-1-400-001.png
15,/Adenocarcinoma/image\GTxc2012996-2-400-003.png
16,/Adenocarcinoma/image\GTXC2012151-2-400-001.png
17,/Adenocarcinoma/image\GT2012118-1-400-003.png
18,/Adenocarcinoma/image\GTxc2012888-1-400-021.png
19,/Adenocarcinoma/image\GTXC2013386-1-400-010.png
20,/Adenocarcinoma/image\GTXC2013391-1-400-004.png
21,/Adenocarcinoma/image\GT2012324-1-400-007.png
22,/Adenocarcinoma/image\GTxc2013496-1-400-001.png
23,/Adenocarcinoma/image\GTxc2013965-1-400-002.png
24,/Adenocarcinoma/image\GTXC2013391-1-400-006.png
25,/Adenocarcinoma/image\GTxc2012888-1-400-006.png
26,/Adenocarcinoma/image\GTXC2012151-2-400-003.png
27,/Adenocarcinoma/image\GTXC2015349-2-400-008.png
28,/Adenocarcinoma/image\GT2001849-1-400-009.png
29,/Adenocarcinoma/image\GTxc2012996-1-400-004.png
30,/Adenocarcinoma/image\GTxc2013496-4-400-005.png
31,/Adenocarcinoma/image\GT2012336-1-400-007.png
32,/Adenocarcinoma/image\GT2012329-1-400-002.png
33,/Adenocarcinoma/image\GT2017150-1-400-004.png
34,/Adenocarcinoma/image\GTXC2015426-1-400-007.png
35,/Adenocarcinoma/image\GT2014667-1-400-002.png
36,/Adenocarcinoma/image\GTXC2015426-1-400-004.png
37,/Adenocarcinoma/image\GTxc2012888-1-400-005.png
38,/Adenocarcinoma/image\GT2016836-1-400-001.png
39,/Adenocarcinoma/image\GTXC2015401-1-400-005.png
40,/Adenocarcinoma/image\GTxc2014144-5-400-005.png
41,/Adenocarcinoma/image\GTxc2013010-2-400-001.png
42,/Adenocarcinoma/image\GT2100276-1-400-003.png
43,/Adenocarcinoma/image\GTXC2015426-1-400-003.png
44,/Adenocarcinoma/image\GTxc2013961-1-400-003.png
45,/Adenocarcinoma/image\GT2014666-1-400-002.png
46,/Adenocarcinoma/image\GTxc2012946-2-400-004.png
47,/Adenocarcinoma/image\GTXC2013391-1-400-011.png
48,/Adenocarcinoma/image\GT2014662-3-400-006.png
49,/Adenocarcinoma/image\GT2016867-1-400-002.png
50,/Adenocarcinoma/image\GTxc2012888-1-400-022.png
51,/Adenocarcinoma/image\GTxc2013512-2-400-008.png
52,/Adenocarcinoma/image\GT2012329-1-400-015.png
53,/Adenocarcinoma/image\GTxc2013496-2-400-005.png
54,/Adenocarcinoma/image\GTXC2015354-1-400-006.png
55,/Adenocarcinoma/image\GT2012358-2-400-010.png
56,/Adenocarcinoma/image\GT2012508-3-400-001.png
57,/Adenocarcinoma/image\GT2100011-2-400-001.png
58,/Adenocarcinoma/image\GT2012353-1-400-008.png
59,/Adenocarcinoma/image\GTxc2013450-1-400-006.png
60,/Adenocarcinoma/image\GT2012353-1-400-005.png
61,/Adenocarcinoma/image\GTXC2015413-3-400-005.png
62,/Adenocarcinoma/image\GTxc2013965-1-400-003.png
63,/Adenocarcinoma/image\GTxc2013980-1-400-003.png
64,/Adenocarcinoma/image\GTxc2012822-1-400-001.png
65,/Adenocarcinoma/image\GTxc2012888-1-400-001.png
66,/Adenocarcinoma/image\GTxc2012822-1-400-007.png
67,/Adenocarcinoma/image\GT2001849-1-400-002.png
68,/Adenocarcinoma/image\GTXC2013391-1-400-001.png
69,/Adenocarcinoma/image\GT2012223-4-400-003.png
70,/Adenocarcinoma/image\GT2012223-4-400-002.png
71,/Adenocarcinoma/image\GT2014665-2-400-003.png
72,/Adenocarcinoma/image\GTxc2013512-1-400-025.png
73,/Adenocarcinoma/image\GTxc2013010-2-400-004.png
74,/Adenocarcinoma/image\GTXC2015362-9-400-007.png
75,/Adenocarcinoma/image\GT2014666-1-400-004.png
76,/Adenocarcinoma/image\GTxc2012902-1-400-010.png
77,/Adenocarcinoma/image\GTxc2012943-1-400-006.png
78,/Adenocarcinoma/image\GT2014666-1-400-003.png
79,/Adenocarcinoma/image\GTxc2012946-2-400-011.png
80,/Adenocarcinoma/image\GTxc2012962-1-400-003.png
81,/Adenocarcinoma/image\GT2016885-1-400-005.png
82,/Adenocarcinoma/image\GTxc2013451-1-400-002.png
83,/Adenocarcinoma/image\GTxc2013392-2-400-004.png
84,/Adenocarcinoma/image\GT2001849-1-400-006.png
85,/Adenocarcinoma/image\GT2001837-1-400-004.png
86,/Adenocarcinoma/image\GTXC2012151-2-400-004.png
87,/Adenocarcinoma/image\GT2016885-1-400-004.png
88,/Adenocarcinoma/image\GTxc2110176-3-400-005.png
89,/Adenocarcinoma/image\GTxc2013964-2-400-001.png
90,/Adenocarcinoma/image\GTxc2012943-1-400-007.png
91,/Adenocarcinoma/image\GTxc2012436-2-400-002.png
92,/Adenocarcinoma/image\GTxc2012902-1-400-009.png
93,/Adenocarcinoma/image\GTxc2013961-1-400-002.png
94,/Adenocarcinoma/image\GTXC2013386-1-400-002.png
95,/Adenocarcinoma/image\GT2100256-2-400-002.png
96,/Adenocarcinoma/image\GTXC2110135-1-400-002.png
97,/Adenocarcinoma/image\GT2001838-1-400-005.png
98,/Adenocarcinoma/image\GT2016882-1-400-001.png
99,/Adenocarcinoma/image\GT2012118-1-400-001.png
100,/Adenocarcinoma/image\GT2016827-1-400-001.png
101,/Adenocarcinoma/image\GTxc2012946-2-400-005.png
102,/Adenocarcinoma/image\GTxc2013512-1-400-012.png
103,/Adenocarcinoma/image\GTxc2014144-4-400-008.png
104,/Adenocarcinoma/image\GTxc2013965-1-400-006.png
105,/Adenocarcinoma/image\GTXC2012151-2-400-010.png
106,/Adenocarcinoma/image\GTxc2013496-4-400-002.png
107,/Adenocarcinoma/image\GT2014818-1-400-002.png
108,/Adenocarcinoma/image\GT2016841-3-400-003.png
109,/Adenocarcinoma/image\GT2012353-1-400-009.png
110,/Adenocarcinoma/image\GTxc2013512-1-400-024.png
111,/Adenocarcinoma/image\GTXC2013391-1-400-010.png
112,/Adenocarcinoma/image\GTxc2013965-1-400-004.png
113,/Adenocarcinoma/image\GT2017148-1-400-001.png
114,/Adenocarcinoma/image\GT2014667-1-400-004.png
115,/Adenocarcinoma/image\GTxc2013496-1-400-009.png
116,/Adenocarcinoma/image\GTXC2015349-2-400-007.png
117,/Adenocarcinoma/image\GT2014662-2-400-001.png
118,/Adenocarcinoma/image\GT2012329-1-400-016.png
119,/Adenocarcinoma/image\GTxc2012888-1-400-019.png
120,/Adenocarcinoma/image\GTxc2012888-1-400-003.png
121,/Adenocarcinoma/image\GT2016906-1-400-005.png
122,/Adenocarcinoma/image\GT2012329-1-400-009.png
123,/Adenocarcinoma/image\GTxc2012888-1-400-018.png
124,/Adenocarcinoma/image\GT2014667-2-400-004.png
125,/Adenocarcinoma/image\GT2016893-1-400-008.png
126,/Adenocarcinoma/image\GT2016841-3-400-002.png
127,/Adenocarcinoma/image\GT2012353-1-400-004.png
128,/Adenocarcinoma/image\GTxc2013512-1-400-003.png
129,/Adenocarcinoma/image\GT2012508-3-400-004.png
130,/Adenocarcinoma/image\GT2012525-1-400-001.png
131,/Adenocarcinoma/image\GTxc2013496-2-400-006.png
132,/Adenocarcinoma/image\GT2017150-1-400-003.png
133,/Adenocarcinoma/image\GT2016841-3-400-004.png
134,/Adenocarcinoma/image\GT2001837-1-400-001.png
135,/Adenocarcinoma/image\GTxc2014144-5-400-006.png
136,/Adenocarcinoma/image\GTXC2015344-2-400-003.png
137,/Adenocarcinoma/image\GTxc2013512-1-400-022.png
138,/Adenocarcinoma/image\GTXC2110135-2-400-005.png
139,/Adenocarcinoma/image\GT2016906-2-400-001.png
140,/Adenocarcinoma/image\GTxc2013450-1-400-005.png
141,/Adenocarcinoma/image\GT2012508-3-400-003.png
142,/Adenocarcinoma/image\GT2016841-1-400-004.png
143,/Adenocarcinoma/image\GTxc2013980-1-400-001.png
144,/Adenocarcinoma/image\GTxc2012946-2-400-008.png
