,Training_paths
0,/Adenocarcinoma/label\GTxc2012902-1-400-007.png
1,/Adenocarcinoma/label\GTxc2012946-2-400-012.png
2,/Adenocarcinoma/label\GTXC2015422-1-400-006.png
3,/Adenocarcinoma/label\GTxc2014065-1-400-005.png
4,/Adenocarcinoma/label\GTXC2015413-3-400-001.png
5,/Adenocarcinoma/label\GT2012223-4-400-001.png
6,/Adenocarcinoma/label\GTxc2012822-1-400-008.png
7,/Adenocarcinoma/label\GT2012468-1-400-001.png
8,/Adenocarcinoma/label\GTxc2013512-1-400-023.png
9,/Adenocarcinoma/label\GT2012324-1-400-012.png
10,/Adenocarcinoma/label\GT2016885-2-400-002.png
11,/Adenocarcinoma/label\GTxc2014131-3-400-002.png
12,/Adenocarcinoma/label\GTXC2015362-9-400-005.png
13,/Adenocarcinoma/label\GT2016841-1-400-003.png
14,/Adenocarcinoma/label\GT2015123-1-400-001.png
15,/Adenocarcinoma/label\GTxc2012996-2-400-003.png
16,/Adenocarcinoma/label\GTXC2012151-2-400-001.png
17,/Adenocarcinoma/label\GT2012118-1-400-003.png
18,/Adenocarcinoma/label\GTxc2012888-1-400-021.png
19,/Adenocarcinoma/label\GTXC2013386-1-400-010.png
20,/Adenocarcinoma/label\GTXC2013391-1-400-004.png
21,/Adenocarcinoma/label\GT2012324-1-400-007.png
22,/Adenocarcinoma/label\GTxc2013496-1-400-001.png
23,/Adenocarcinoma/label\GTxc2013965-1-400-002.png
24,/Adenocarcinoma/label\GTXC2013391-1-400-006.png
25,/Adenocarcinoma/label\GTxc2012888-1-400-006.png
26,/Adenocarcinoma/label\GTXC2012151-2-400-003.png
27,/Adenocarcinoma/label\GTXC2015349-2-400-008.png
28,/Adenocarcinoma/label\GT2001849-1-400-009.png
29,/Adenocarcinoma/label\GTxc2012996-1-400-004.png
30,/Adenocarcinoma/label\GTxc2013496-4-400-005.png
31,/Adenocarcinoma/label\GT2012336-1-400-007.png
32,/Adenocarcinoma/label\GT2012329-1-400-002.png
33,/Adenocarcinoma/label\GT2017150-1-400-004.png
34,/Adenocarcinoma/label\GTXC2015426-1-400-007.png
35,/Adenocarcinoma/label\GT2014667-1-400-002.png
36,/Adenocarcinoma/label\GTXC2015426-1-400-004.png
37,/Adenocarcinoma/label\GTxc2012888-1-400-005.png
38,/Adenocarcinoma/label\GT2016836-1-400-001.png
39,/Adenocarcinoma/label\GTXC2015401-1-400-005.png
